object_id,region_id,raw_label,nyu_id,nyu40_id,nyu_label,nyu40_label,object_bbox_cx,object_bbox_cy,object_bbox_cz,object_bbox_xlength,object_bbox_ylength,object_bbox_zlength,object_bbox_heading,object_front_heading,object_color_r1,object_color_g1,object_color_b1,object_color_scheme1,object_color_scheme_percentage1,object_color_scheme_average_dist1,object_color_r2,object_color_g2,object_color_b2,object_color_scheme2,object_color_scheme_percentage2,object_color_scheme_average_dist2,object_color_r3,object_color_g3,object_color_b3,object_color_scheme3,object_color_scheme_percentage3,object_color_scheme_average_dist3
0,0,window,59,9,window,window,1.4793689668207473,3.523483307998297,1.8565294742584229,1.7432855137100671,0.2236576200608016,0.5723519325256348,0.03522333958388422,_,105,105,105,gray,0.6456953642384106,5.655326274047384,160,82,45,brown,0.1605960264900662,14.449298963382905,255,255,255,white,0.11258278145695365,1.4517384792436459
1,0,window,59,9,window,window,2.904899230989843,-3.4938051673173995,1.526824712753296,0.649298729296707,0.15341419085000796,0.6715359687805176,-3.0112772385878346,_,176,196,222,blue,0.5454545454545454,4.469671847648281,119,136,153,gray,0.2909090909090909,7.83387049147088,210,180,140,brown,0.13636363636363635,5.958965024341737
2,0,table,19,7,table,table,1.148632724110066,2.198377144643741,0.6164956614375114,2.538415478952993,0.5205048743044615,1.2144762426614761,-1.5810820561638774,-0.4941139162005747,160,82,45,brown,0.5500523194977328,16.58734522066449,169,169,169,gray,0.30868503662364843,6.935963087378751,_,_,_,_,_,_
3,0,kitchen counter,7,12,counter,counter,2.9161771886634886,2.501576486509166,0.9722377061843872,1.843187999887957,0.6161531596932655,0.2869744300842285,-1.5719970020696061,_,169,169,169,gray,0.8917748917748918,6.337815245192565,_,_,_,_,_,_,_,_,_,_,_,_
4,0,shower,20,38,unknown,otherstructure,1.6000650115826738,-2.910105867442473,0.8784949891269207,1.1791041585492814,0.9385636538351829,1.8209028020501137,-1.6069358190681868,_,105,105,105,gray,0.8584675451439727,8.11913911776472,210,180,140,brown,0.11517813567593949,6.589248480046209,_,_,_,_,_,_
5,0,curtain,89,16,curtain,curtain,-3.311181768105722,-0.013518330805108569,1.0712197311222553,3.858114765213416,0.43903972266140334,2.1603440269827843,-1.5720753058291805,_,105,105,105,gray,0.8204140587385652,9.75185661424704,210,180,140,brown,0.10736639383726529,10.578491001741522,_,_,_,_,_,_
6,0,curtain,89,16,curtain,curtain,-2.0154698904060817,-3.4847043724542535,1.5768105387687683,1.9907342125570406,0.19781290331616974,1.276661992073059,0.027668188040399302,_,128,128,128,gray,0.7882783882783883,8.83131015015999,210,180,140,brown,0.19047619047619047,11.853108810093316,_,_,_,_,_,_
7,0,desk,36,14,desk,desk,-2.1935006257885945,-3.1406061064076582,0.491119135171175,1.482792882613618,0.6742146134456743,1.058568499982357,-0.011835217228724108,2.0097043301471595,160,82,45,brown,0.4602003162888772,18.06928252321921,47,79,79,gray,0.4422772799156563,19.9870252395674,_,_,_,_,_,_
8,0,cabinet,3,3,cabinet,cabinet,-2.808667480016229,2.4806179879406662,1.1390052661299706,1.9433309271249184,0.9159137153742969,2.337953880429268,0.9093961291903775,_,160,82,45,brown,0.6154033633926396,14.18547337100285,47,79,79,gray,0.30221788934925664,21.084448280870312,_,_,_,_,_,_
9,0,floor,11,2,floor,floor,-0.06715773327110747,-0.017043366599673624,0.11363551765680313,6.79502950381567,6.772153796423908,0.3571401685476303,-1.5420586355932457,_,105,105,105,gray,0.6094391244870041,10.088496973972672,210,180,140,brown,0.28376001563416064,7.563776180358861,_,_,_,_,_,_
10,0,sink,24,34,sink,sink,3.069866125805458,-2.1825894667601724,0.43014488741755486,0.6713908416875769,0.44633243283748536,0.9044498577713966,1.5479451530195976,2.6777154180525473,169,169,169,gray,0.5082872928176796,6.728543576598992,255,255,255,white,0.35911602209944754,1.013101975965211,_,_,_,_,_,_
11,0,scale,639,40,scale,otherprop,1.4658413008686517,-2.0271439557642714,0.0023919083178043365,0.373330521830072,0.3352115509868101,0.04457060247659683,-2.222527512134498,_,105,105,105,gray,0.4090909090909091,6.576931826094854,210,180,140,brown,0.30303030303030304,5.907427158134761,250,235,215,white,0.15151515151515152,3.6495121525336294
12,0,trash can,12,39,garbage bin,otherfurniture,2.728668298460131,0.635854409312582,0.1886261533945799,0.3634525461705999,0.37601620126566493,0.385267648845911,-1.5378052417482864,_,169,169,169,gray,0.8407960199004975,6.165836154175013,210,180,140,brown,0.12935323383084577,9.166687659027023,_,_,_,_,_,_
13,0,trash can,12,39,garbage bin,otherfurniture,2.9933803732621844,0.6045824592979842,0.3332889638841152,0.41412776339180113,0.45762019838011003,0.6463322713971138,1.5761992774836808,-3.076735977073272,169,169,169,gray,0.5542168674698795,5.906779477921384,210,180,140,brown,0.3614457831325301,7.174666276935801,_,_,_,_,_,_
14,0,trash can,12,39,garbage bin,otherfurniture,-1.579141080072563,-2.992732467365204,0.12791302427649498,0.5197730114699595,0.19476287907838996,0.2723051384091377,1.8037410619281138,_,105,105,105,gray,0.9270833333333334,8.560407925978277,_,_,_,_,_,_,_,_,_,_,_,_
15,0,tv,172,25,television,television,-2.799207881034775,2.511429684147909,1.0166414976119995,0.9344870734220969,0.6659875138916376,0.4475264549255371,1.0394670081520665,-0.9340804215608899,47,79,79,gray,0.8809980806142035,27.3932047133541,_,_,_,_,_,_,_,_,_,_,_,_
16,0,pillow,119,18,pillow,pillow,-0.29619526317865086,-3.2749932329492757,0.9429165720939636,0.9168783505354806,0.4067913590923311,0.4035440683364868,-3.1014727564007294,_,47,79,79,gray,0.8773234200743495,17.434245452233373,_,_,_,_,_,_,_,_,_,_,_,_
17,0,clock,56,40,clock,otherprop,-3.449062531196229,-2.38915349212465,1.7933242321014404,0.333947711992574,0.03126369510180016,0.4145822525024414,-1.5185772691418424,_,169,169,169,gray,0.5,6.538393202530472,210,180,140,brown,0.43478260869565216,9.358227870705104,_,_,_,_,_,_
18,0,backpack,206,40,backpack,otherprop,-1.8685172532998093,0.39561320158341773,0.21890374273061752,0.4576774939697969,0.30755886015977385,0.4625905305147171,-2.122044035509361,_,47,79,79,gray,0.937984496124031,18.036617378712595,_,_,_,_,_,_,_,_,_,_,_,_
19,0,wall,21,1,wall,wall,-1.175157628950417,-3.3654493272368584,1.2075463775545359,4.460283128998503,0.5145392496580086,2.5295650474727154,-0.01437140043353843,_,192,192,192,gray,0.6560556165386022,7.965140170010893,210,180,140,brown,0.238931577021588,8.870670087512748,_,_,_,_,_,_
20,0,wall,21,1,wall,wall,-3.4532866427968334,-0.3358247601301313,1.4507580734789371,6.424167575665772,0.2600122525904309,2.74287062138319,1.5946506695327476,_,169,169,169,gray,0.834958217270195,5.100594663959634,_,_,_,_,_,_,_,_,_,_,_,_
21,0,wall,21,1,wall,wall,1.6684566879329583,3.3953392239408693,1.2843548320233822,3.1058709276095735,0.31248334196937844,2.407832808792591,-3.1108436760172204,_,169,169,169,gray,0.6068493150684932,7.907444268048769,210,180,140,brown,0.33926940639269404,10.986701034779516,_,_,_,_,_,_
22,0,wall,21,1,wall,wall,1.3415155159931849,-2.036108725584935,0.7542916983366013,1.173649746426525,0.24767766751228848,1.555274873971939,1.0699828690665518,_,169,169,169,gray,0.7654867256637168,4.7834503606603755,_,_,_,_,_,_,_,_,_,_,_,_
23,0,wall,21,1,wall,wall,3.162936401359003,0.939322241152248,1.4859322756528854,4.905972235631159,0.3155152374056893,2.949021488428116,1.6045721026832696,_,210,180,140,brown,0.648975302154493,6.967743858265133,105,105,105,gray,0.28481345244351025,7.740580131786593,_,_,_,_,_,_
24,0,wall,21,1,wall,wall,3.2256741410642245,-2.6573660067175275,1.2503679227083921,1.5507883419439679,0.2549552388338374,2.5166539289057255,1.5589190844358394,_,105,105,105,gray,0.7520117044623262,8.253537946070502,210,180,140,brown,0.1258229700073153,10.67935501911267,_,_,_,_,_,_
25,0,wall,21,1,wall,wall,2.3941618894007246,-1.5147291949318726,1.38059002161026,1.8481068246476617,0.13122032559213537,2.8152307271957397,-3.0986783517904803,_,210,180,140,brown,0.6644444444444444,6.239090450077083,169,169,169,gray,0.29333333333333333,6.555693587710416,_,_,_,_,_,_
26,0,wall,21,1,wall,wall,1.045155931883395,-2.421343918404921,1.2894831262528896,2.02904516751722,0.5929746562411358,2.654585249722004,1.3075711058573185,_,105,105,105,gray,0.9224762967094255,7.833553174724966,_,_,_,_,_,_,_,_,_,_,_,_
27,0,wall,21,1,wall,wall,2.6434094517559648,-3.4364713742769504,0.9191048443317413,1.3660232643647006,0.2840357887739082,1.9028860926628113,3.1187530143773925,_,169,169,169,gray,0.7953281423804227,6.005744214711622,210,180,140,brown,0.13681868743047831,7.978174820935228,_,_,_,_,_,_
28,0,stool,150,40,stool,otherprop,1.2971514600688643,1.5178928014920239,0.37719718366861343,0.3546616056482599,0.4221323770473002,0.7088925093412399,0.04140248493577036,_,160,82,45,brown,0.9532710280373832,12.465549528656098,_,_,_,_,_,_,_,_,_,_,_,_
29,0,stool,150,40,stool,otherprop,1.3208620253243153,1.9956189191381732,0.3849724866449833,0.42852103755785476,0.38926288607584447,0.7169403359293938,0.18322978796596376,_,160,82,45,brown,0.9704347826086956,13.983460603264811,_,_,_,_,_,_,_,_,_,_,_,_
30,0,stool,150,40,stool,otherprop,1.3573808316222034,3.1361867168478694,0.41729676350951195,0.48230498352105045,0.3328031617775913,0.6919955089688301,1.555140406273056,_,160,82,45,brown,0.9682539682539683,16.51226213902081,_,_,_,_,_,_,_,_,_,_,_,_
31,0,stool,150,40,stool,otherprop,1.3324778179008065,2.61397169254717,0.4114738516509533,0.45817701524988363,0.3443235156633715,0.687963642179966,-1.5658028282479726,_,160,82,45,brown,0.9737903225806451,16.86323277060536,_,_,_,_,_,_,_,_,_,_,_,_
32,0,couch,83,6,sofa,sofa,-0.418558888057369,1.5986298867535025,0.4361817520111799,2.289808643971078,2.8169628214989464,0.9160079397261143,1.599502316104714,_,47,79,79,gray,0.9086095312806433,11.933079703525033,_,_,_,_,_,_,_,_,_,_,_,_
33,0,refrigerator,17,24,refridgerator,refridgerator,2.7883042525537722,1.2895272574301764,0.9119663871824741,1.094383912277905,0.9384387587851157,1.8127671405673027,-1.403169841834889,3.086109467531519,192,192,192,gray,0.5819088319088319,5.408157063060197,210,180,140,brown,0.2222222222222222,5.770532557813361,_,_,_,_,_,_
34,0,coffee table,356,7,coffee table,table,-0.8603876865554284,2.129957360176814,0.22876280546188354,1.1141754828856392,0.6665953614036639,0.48457837104797363,-3.1252118453933804,_,47,79,79,gray,0.9356060606060606,12.595216874696355,_,_,_,_,_,_,_,_,_,_,_,_
35,0,table,19,7,table,table,-3.174273575360266,-2.0413577130253944,0.25359928235411644,1.0598118316330283,0.4881414020007262,0.5020653083920479,-1.5676405280758974,_,47,79,79,gray,0.651219512195122,15.185507671848185,210,180,140,brown,0.2646341463414634,7.8801561935756155,_,_,_,_,_,_
36,0,toilet,124,33,toilet,toilet,2.962062759422382,-3.090155994597816,0.3533716890960932,0.578887995862984,0.6803362051155011,0.7430858425796032,1.6674033530298713,2.902277777984475,210,180,140,brown,0.47577092511013214,3.7092704003672456,128,128,128,gray,0.4647577092511013,7.901807117985513,_,_,_,_,_,_
37,0,bed,157,4,bed,bed,-0.3023763266042215,-2.478075770569038,0.40104643628001213,2.0152501771892415,1.5300323161057012,0.8338536396622658,1.5535880877164356,_,47,79,79,gray,0.3882870683818551,11.388509005956701,72,61,139,purple,0.3070412999322952,23.88309572418367,0,0,0,black,0.23595125253893026,29.424976872028072
38,0,cabinet,3,3,cabinet,cabinet,3.0737600083846557,-0.9845203431177996,1.1786127779632807,1.045229210027715,0.3780117587614442,2.3713458590209484,1.4681803055208293,-2.9262229162943134,205,133,63,brown,0.9095154699357851,7.889212023107999,_,_,_,_,_,_,_,_,_,_,_,_
39,0,cabinet,3,3,cabinet,cabinet,-3.1313090415437146,-2.914248009404348,0.9401446152478456,1.2132171762745512,0.5965377099847662,1.938113298267126,-1.5184192431147236,-0.12723734069094228,47,79,79,gray,0.8337393422655298,10.874338255150953,_,_,_,_,_,_,_,_,_,_,_,_
40,0,kitchen cabinets,3,3,cabinet,cabinet,2.738956836567611,1.168023714811293,2.052984595298767,1.1460569344304934,0.5626556308659305,0.6596529483795166,2.1190761385712427,_,205,133,63,brown,0.973568281938326,9.124595242888304,_,_,_,_,_,_,_,_,_,_,_,_
41,0,cabinet,3,3,cabinet,cabinet,0.9342321131893584,-3.161615342318144,1.8611210584640503,0.7206863274016508,0.34289358172945217,0.9009506702423096,-1.5953718531531782,3.070549232553612,160,82,45,brown,0.7226107226107226,15.928343212220746,105,105,105,gray,0.23543123543123542,16.143459068837718,_,_,_,_,_,_
42,0,cabinet,3,3,cabinet,cabinet,2.65175765420794,2.501754886311311,0.48798177018761635,1.844220379031858,0.10649299356402109,0.8872675225138664,-1.568152392654515,2.99372987241727,160,82,45,brown,0.6762589928057554,14.841496209549641,105,105,105,gray,0.20287769784172663,13.835225243562464,_,_,_,_,_,_
43,0,kitchen cabinets,3,3,cabinet,cabinet,2.9602427047031887,2.562367798862135,1.8823024034500122,1.6896157183367435,0.240173259710315,1.0525057315826416,-1.5991668699620385,2.3702653009678696,160,82,45,brown,0.7270375161707633,10.847958102195213,105,105,105,gray,0.16558861578266496,13.111195054702222,_,_,_,_,_,_
44,0,object,20,40,unknown,otherprop,1.0895474431044339,-2.144297562317293,0.5464069657027721,0.8426544555686417,0.31833285969443326,1.1735051050782204,0.9074029191530997,_,47,79,79,gray,0.9475982532751092,11.715338047462161,_,_,_,_,_,_
45,0,toaster oven,275,40,toaster oven,otherprop,2.99735560233373,1.9075796232820286,1.0192376673221588,0.7412130378331128,0.4192471857553475,0.30640286207199097,1.3830180379564398,-2.7844402408444973,47,79,79,gray,0.9593301435406698,13.846772324208972,_,_,_,_,_,_,_,_,_,_,_,_
46,0,laundry basket,164,40,laundry basket,otherprop,0.8043926713427181,-2.73953442713607,0.23839334771037102,0.517371103812359,0.42593221477446164,0.5444549694657326,1.5783173081510447,_,47,79,79,gray,0.864406779661017,22.349175576480437,_,_,_,_,_,_,_,_,_,_,_,_
47,0,guitar,300,40,guitar,otherprop,1.1804802659149274,-1.5374363813742742,0.5263420157134533,0.49322685584460224,0.42868374719505264,0.9959056749939919,-0.1684563025085163,-2.13847923558083,47,79,79,gray,0.6633064516129032,15.502251787978965,0,0,0,black,0.1592741935483871,28.25443209484931,160,82,45,brown,0.1532258064516129,27.654873730095435
48,0,tissue box,138,40,tissue box,otherprop,-1.2542375288362668,-3.3098783010977444,0.7451868057250977,0.453315541405541,0.3507420450716272,0.4125828742980957,0.02347929558891761,_,47,79,79,gray,0.775,6.5381589010093855,176,196,222,blue,0.175,2.9765531436121817,_,_,_,_,_,_
49,0,nightstand,158,32,night stand,night stand,-1.298585901263913,-3.28701115785689,0.40650976076722145,0.47740855593461506,0.3749851976210321,0.8245953246951103,-3.1360916610462475,1.587811458511556,105,105,105,gray,0.9148264984227129,11.07289442619382,_,_,_,_,_,_,_,_,_,_,_,_
50,0,nightstand,158,32,night stand,night stand,0.7827274834805233,-3.239645557854093,0.39114074409008026,0.47525932704843005,0.4072588434420217,0.4892860949039459,0.038287340416321834,1.696569393989786,112,128,144,gray,1.0,6.318672789992522
51,0,dish rack,581,40,dish rack,otherprop,3.02063921738581,2.9693891677482376,1.0562304556369781,0.6445229978056588,0.3942023692459977,0.46761125326156616,1.5376038672138306,_,105,105,105,gray,0.9809322033898306,9.483867391465132,_,_,_,_,_,_,_,_,_,_,_,_
52,0,microwave,13,40,microwave,otherprop,3.0145277924358695,1.935254810267121,1.6464561223983765,0.6286042887112679,0.47451112296623155,0.45275211334228516,-1.6654577423258061,3.0125443824403684,47,79,79,gray,0.7142857142857143,12.855728064021985,176,196,222,blue,0.15178571428571427,3.390958110066801,210,180,140,brown,0.11160714285714286,8.769909835610136
53,0,toaster,251,40,toaster,otherprop,3.1310492332275337,2.378773890170223,1.0245669484138489,0.19368869607150296,0.27273432396297137,0.16920459270477295,0.06139181141284953,_,128,128,128,gray,0.8333333333333334,4.203905246800472,176,196,222,blue,0.16666666666666666,3.290074474655283
54,0,door,28,8,door,door,3.358720518968258,-0.023675215687079795,0.9520449712872505,0.6821236290915507,0.08919473611241102,1.9182395786046982,-1.5943210332544195,_,210,180,140,brown,0.7859531772575251,4.877618738760037,192,192,192,gray,0.13712374581939799,6.054182240437664,_,_,_,_,_,_
55,0,ceiling,4,22,ceiling,ceiling,-0.09251716024997181,-0.06222956905039086,2.644996762275696,7.0267666471863635,6.712106058268478,0.6265923976898193,-1.5639611154322757,_,105,105,105,gray,0.9234754882423276,6.080765209007764,_,_,_,_,_,_,_,_,_,_,_,_
56,0,shelf,42,15,shelves,shelves,-0.6486281710931647,3.1059033741520405,1.140766466036439,3.0026872309010213,0.5533641144274468,2.3536356203258038,0.03314103318799765,_,210,180,140,brown,0.459621375509226,10.98980182873342,105,105,105,gray,0.37311286843997127,12.951002983608682,189,183,107,yellow,0.10759645339084592,9.093825331064423
57,0,bicycle,189,40,bicycle,otherprop,-3.26980868012622,1.1143241850219059,0.40699135325849056,1.357731613325315,0.427078420774639,0.8525811620056629,1.4751783948293478,_,105,105,105,gray,0.9012430939226519,11.382378144849001,_,_,_,_,_,_,_,_,_,_,_,_
58,0,shoes,149,40,shoe,otherprop,-3.2432904822854027,-1.173981415502709,0.04850884526968002,0.2311145742231937,0.18378077921452574,0.09668585658073425,-3.0190483589860326,_,47,79,79,gray,0.8604651162790697,17.28011128561616,0,0,0,black,0.11627906976744186,28.798074707649846,_,_,_,_,_,_
59,0,object,20,40,unknown,otherprop,-1.6312081992776577,-3.2472363606190338,0.5303613096475601,0.4240213737306777,0.1608463176902406,0.6739568412303925,1.6707065551305453,_,47,79,79,gray,0.7735849056603774,22.598297698581046,0,0,0,black,0.1949685534591195,29.45326576827093,_,_,_,_,_,_
60,0,object,20,40,unknown,otherprop,0.8519059872075618,-2.8211856072769637,1.258670687675476,0.44991942932482387,0.3145745059309766,0.29410266876220703,-0.16277610127506692,_,47,79,79,gray,0.6153846153846154,22.309662414096024,0,0,0,black,0.38461538461538464,27.070301406348356
61,0,object,20,40,unknown,otherprop,-0.7718811436989768,-1.7297817252364711,0.8187417685985565,0.3198769640658006,0.2101781688505424,0.12422031164169312,2.41728833543313,_,47,79,79,gray,0.9026548672566371,16.20867820667099,_,_,_,_,_,_,_,_,_,_,_,_
62,0,object,20,40,unknown,otherprop,-0.7187734402953349,-2.145919573518389,0.8175744712352753,0.7355619998794625,0.5899012273040871,0.1995193362236023,2.1657848860722986,_,47,79,79,gray,0.8781725888324873,15.578770386443116,_,_,_,_,_,_,_,_,_,_,_,_
63,0,doorframe,28,8,door,door,2.1245518116913176,-1.579383909636353,0.9844173528254032,1.014457846503319,0.2202326282031697,1.9967240616679192,0.007472652118043893,_,160,82,45,brown,0.6672794117647058,10.226823191545254,105,105,105,gray,0.25735294117647056,11.675454835924421,_,_,_,_,_,_
64,0,mirror,122,19,mirror,mirror,3.2901130264111504,-2.1517162081074117,1.5497888922691345,0.5012376681915884,0.18408496917496908,0.5213173627853394,-1.5633615961985479,_,47,79,79,gray,0.5960264900662252,17.339194116862817,255,255,255,white,0.15894039735099338,0.6822954188437652,189,183,107,yellow,0.11258278145695365,4.754491142495866
65,0,doorframe,28,8,door,door,3.3035852188637205,-0.04579684851881244,0.9813705459237099,0.7767620351254131,0.19138859536086228,1.9579802006483078,-1.5573280200537882,_,205,133,63,brown,0.8529411764705882,8.099909980518767,192,192,192,gray,0.13970588235294118,8.226294521658899,_,_,_,_,_,_
66,0,guitar case,771,40,guitar case,otherprop,0.6936450398367804,2.728257019401785,0.4640191998332739,0.7141845019727731,0.3852955505805977,0.9886157102882862,-3.0807650716924107,_,47,79,79,gray,0.6119402985074627,21.764125188536752,0,0,0,black,0.2873134328358209,27.8729172517341,_,_,_,_,_,_
